Province,Country,Lat,Long,Confirmed,Death,Recovered
Anhui,Mainland China,31.82571,117.2264,934,6,193
Beijing,Mainland China,40.18238,116.4142,372,3,80
Chongqing,Mainland China,30.05718,107.874,532,5,139
Fujian,Mainland China,26.07783,117.9895,281,0,63
Gansu,Mainland China,36.0611,103.8343,90,2,39
Guangdong,Mainland China,23.33841,113.422,1261,2,362
Guangxi,Mainland China,23.82908,108.7881,226,2,36
Guizhou,Mainland China,26.81536,106.8748,140,1,28
Hainan,Mainland China,19.19673,109.7455,159,4,43
Hebei,Mainland China,38.0428,114.5149,283,3,87
Heilongjiang,Mainland China,47.862,127.7622,419,11,47
Henan,Mainland China,33.88202,113.614,1184,11,357
Hubei,Mainland China,30.97564,112.2707,51986,1318,3900
Hunan,Mainland China,27.61041,111.7088,988,2,364
Inner Mongolia,Mainland China,44.09448,113.9456,65,0,6
Jiangsu,Mainland China,32.97027,119.464,593,0,157
Jiangxi,Mainland China,27.61401,115.7221,900,1,187
Jilin,Mainland China,43.66657,126.1917,86,1,25
Liaoning,Mainland China,41.29284,122.6086,119,1,29
Ningxia,Mainland China,37.26923,106.1655,67,0,24
Qinghai,Mainland China,35.65945,96.02564,18,0,11
Shaanxi,Mainland China,35.19165,108.8701,230,0,54
Shandong,Mainland China,36.34377,118.1529,523,2,136
Shanghai,Mainland China,31.20327,121.4554,318,1,90
Shanxi,Mainland China,37.57769,112.2922,126,0,38
Sichuan,Mainland China,30.61714,102.7103,463,1,114
Tianjin,Mainland China,39.29362,117.333,120,3,31
Tibet,Mainland China,30.1534,88.7879,1,0,1
Xinjiang,Mainland China,41.11981,85.17822,65,1,6
Yunnan,Mainland China,24.97411,101.4868,162,0,36
Zhejiang,Mainland China,29.18251,120.0985,1155,0,403
Taiwan,Taiwan,23.6978,120.9605,18,0,1
Macau,Macau,22.1987,113.5439,10,0,12
Hong Kong,Hong Kong,22.3193,114.1694,56,0,7
